morpheme_en,concept,compositional_concept,pos,semantic_gender,syntactic_gender_es,type,tense,aspect,number,inactive,is_cognate,is_false_friend,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
throwing,THROW,THROW,participle,,,double,,progressive,,,,,,,,
showing,SHOW,SHOW,participle,,,double,,progressive,,,,,,,,
swum,SWIM,SWIM,participle,,,intrans,,perfect,,,,,,,,
jumped,JUMP,JUMP,participle,,,intrans,,perfect,,,,,,,,
walked,WALK,WALK,participle,,,intrans,,perfect,,,,,,,,
run,RUN,RUN,participle,,,intrans,,perfect,,,,,,,,
arrived,ARRIVE,ARRIVE,participle,,,intrans,,perfect,,,,,,,,
sneezed,SNEEZE,SNEEZE,participle,,,intrans,,perfect,,,,,,,,
died,DIE,DIE,participle,,,intrans,,perfect,,,,,,,,
eaten,EAT,EAT,participle,,,intrans,,perfect,,,,,,,,
pushed,PUSH,PUSH,participle,,,trans,,perfect,,,,,,,,
kicked,KICK,KICK,participle,,,trans,,perfect,,,,,,,,
carried,CARRY,CARRY,participle,,,trans,,perfect,,,,,,,,
given,GIVE,GIVE,participle,,,double,,perfect,,,,,,,,
thrown,THROW,THROW,participle,,,double,,perfect,,,,,,,,
shown,SHOW,SHOW,participle,,,double,,perfect,,,,,,,,
to,,,prep,,,to,,,,,,,,,,
man's,MAN,HUMAN,gen,,,,,,,,,,,,,
boy's,BOY,CHILD,gen,,,,,,,,,,,,,
father's,FATHER,PARENT,gen,,,,,,,,,,,,,
brother's,BROTHER,SIBLING,gen,,,,,,,,,,,,,
grandfather's,GRANDFATHER,GRANDPARENT,gen,,,,,,,,,,,,,
uncle's,UNCLE,UNCLES,gen,,,,,,,,,,,,,
host's,HOST,HOST,gen,,,,,,,,,,,,,
waiter's,WAITER,WAITER,gen,,,,,,,,,,,,,
gentleman's,GENTLEMAN,GENTLEMAN,gen,,,,,,,,,,,,,
dog's,DOG,DOG,gen,,,,,,,,,,,,,
woman's,WOMAN,HUMAN,gen,,,,,,,,,,,,,
girl's,GIRL,CHILD,gen,,,,,,,,,,,,,
mother's,MOTHER,PARENT,gen,,,,,,,,,,,,,
sister's,SISTER,SIBLING,gen,,,,,,,,,,,,,
grandmother's,GRANDMOTHER,GRANDPARENT,gen,,,,,,,,,,,,,
aunt's,AUNT,UNCLES,gen,,,,,,,,,,,,,
hostess's,HOSTESS,HOST,gen,,,,,,,,,,,,,
lady's,LADY,LADY,gen,,,,,,,,,,,,,
waitress's,WAITRESS,WAITER,gen,,,,,,,,,,,,,
cat's,CAT,CAT,gen,,,,,,,,,,,,,
and,,,conj,,,and,,,,,,,,,,
that,,,rel,,,that,,,,,,,,,,
of,,,prep,,,of,,,,,,,,,,
from,,,prep,,,from,,,,,,,,,,
are,BE,BE,verb,,,copular,,,,,,,,,,
have,HAVE,HAVE,verb,,,possession,,,,,,,,,,
are,,,aux,,,auxiliary_verb,,progressive,plural,,,,,,,
have,,,aux,,,auxiliary_verb,,perfect,plural,,,,,,,
still,STILL,STILL,adverb,,,,,,,,,,,,,
for_many_years,FOR MANY YEARS,FOR MANY YEARS,adverb,,,,,,,,,,,,,
more_often,FOR MANY YEARS,FOR MANY YEARS,adverb,,,,,,,,,,,,,
